10	01010
32	111
33	010110010101
34	010110010100000000000000000000000000000000000000000000
35	010110010100000000000000000000000000000000000000000001
36	01011001010000000000000000000000000000000000000000001
37	0101100101000000000000000000000000000000000000000001
38	010110010100000000000000000000000000000000000000001
39	01011001011
40	01011001010000000000000000000000000000000000000001
41	0101100101000000000000000000000000000000000000001
42	010110010100000000000000000000000000000000000001
43	01011001010000000000000000000000000000000000001
44	100010
45	101110010
46	1000111
47	0101100101000000000000000000000000000000000001
48	010110010100000000000000000000000000000000001
49	01011001010000000000000000000000000000000001
50	0101100101000000000000000000000000000000001
51	010110010100000000000000000000000000000001
52	01011001010000000000000000000000000000001
53	0101100101000000000000000000000000000001
54	010110010100000000000000000000000000001
55	01011001010000000000000000000000000001
56	0101100101000000000000000000000000001
57	010110010100000000000000000000000001
58	101110011
59	110000011
60	01011001010000000000000000000000001
61	0101100101000000000000000000000001
62	010110010100000000000000000000001
63	110101010
64	01011001010000000000000000000001
65	11000000
66	0101100110
67	01101000
68	01011001110
69	110000010
70	0101100101000000000000000000001
71	110101111
72	0110100100
73	11010100
74	010110010100000000000000000001
75	01011001010000000000000000001
76	011010011
77	1101010110
78	110101100
79	110101101
80	01011000
81	0101100101000000000000000001
82	1101010111
83	01101010
84	10111000
85	011010110
86	010110010100000000000000001
87	011010111
88	01011001010000000000000001
89	0110100101
90	0101100101000000000000001
91	010110010100000000000001
92	01011001010000000000001
93	0101100101000000000001
94	010110010100000000001
95	01011001010000000001
96	0101100101000000001
97	1010
98	1000110
99	110100
100	10110
101	000
102	011011
103	1011101
104	11011
105	0010
106	01011001111
107	110101110
108	01100
109	010111
110	0100
111	0111
112	1100001
113	0101100100
114	11001
115	0011
116	1001
117	10000
118	0101101
119	110001
120	010110010100000001
121	101111
122	01011001010000001
123	0101100101000001
124	010110010100001
125	01011001010001
126	0101100101001
